sale_id,customer_name,product,quantity,price_per_unit,payment_mode,city,total_amount
1,Simran,Mouse,1,49981,Cash,Bangalore,49981
2,Raj,Mouse,4,36908,UPI,Nagpur,147632
3,Pooja,Laptop,8,28970,NetBanking,Hyderabad,231760
4,Simran,Headphones,5,20991,NetBanking,Nagpur,104955
5,Neha,Mobile,2,1841,UPI,Mumbai,3682
6,Vishal,Laptop,6,45123,Card,Pune,270738
7,Pooja,Mobile,5,25291,Card,Bangalore,126455
8,Pooja,Smartwatch,2,838,NetBanking,Mumbai,1676
9,Simran,Mobile,3,6395,Cash,Pune,19185
10,,Headphones,9,12754,Card,Mumbai,114786
11,Neha,Smartwatch,7,11844,Card,Hyderabad,82908
12,Simran,Mobile,7,2250,UPI,Bangalore,15750
13,Neha,Smartwatch,6,2921,UPI,Nagpur,17526
14,Neha,Mobile,8,40387,Cash,Nagpur,323096
15,Vishal,Headphones,4,5819,Card,Pune,23276
16,Pooja,Mobile,8,16396,Card,Delhi,131168
17,Raj,Mobile,4,12418,UPI,Hyderabad,49672
18,,Mobile,8,25564,Card,Pune,204512
19,Vishal,Laptop,9,47117,NetBanking,Delhi,424053
20,Neha,Laptop,3,28435,UPI,Mumbai,85305
21,Karan,Laptop,3,38141,Cash,Hyderabad,114423
22,Pooja,Headphones,2,30211,UPI,Mumbai,60422
23,Riya,Smartwatch,3,5306,Card,Bangalore,15918
24,Vishal,Mouse,3,41860,Cash,Hyderabad,125580
25,Raj,Mobile,5,12682,UPI,Delhi,63410
26,Karan,Mobile,5,22797,NetBanking,Bangalore,113985
27,Karan,Headphones,2,20041,NetBanking,Nagpur,40082
28,Riya,Mobile,6,29421,UPI,Delhi,176526
29,Vishal,Laptop,5,17274,NetBanking,Pune,86370
30,Raj,Mouse,6,45313,NetBanking,Nagpur,271878
31,Pooja,Keyboard,1,37698,NetBanking,,37698
32,Amit,Mobile,5,9320,Cash,Pune,46600
33,Raj,Laptop,9,24570,NetBanking,Hyderabad,221130
34,Riya,Keyboard,2,4732,NetBanking,Nagpur,9464
35,Karan,Mouse,1,11622,NetBanking,Delhi,11622
36,Pooja,Keyboard,9,15523,Cash,Bangalore,139707
37,Raj,Laptop,9,8507,UPI,Nagpur,76563
38,Amit,Smartwatch,9,18405,Card,Delhi,165645
39,Amit,Smartwatch,6,42286,NetBanking,Mumbai,253716
40,Neha,Keyboard,8,29898,UPI,Delhi,239184
41,Neha,Headphones,1,34768,NetBanking,Bangalore,34768
42,Simran,Keyboard,4,7237,Cash,Delhi,28948
43,Riya,Mobile,1,36562,UPI,Pune,36562
44,Vishal,Mobile,8,26010,Cash,Bangalore,208080
45,Raj,Smartwatch,1,19926,NetBanking,Hyderabad,19926
46,Raj,Headphones,3,37765,NetBanking,Mumbai,113295
47,Vishal,Laptop,4,18350,Cash,Pune,73400
48,Simran,Mobile,8,1114,Card,Hyderabad,8912
49,Karan,Smartwatch,6,22276,Cash,Delhi,133656
50,Karan,Mouse,7,24577,NetBanking,Bangalore,172039
51,Simran,Smartwatch,8,9874,Cash,,78992
52,Karan,Mobile,2,35935,Card,Pune,71870
53,Neha,Mobile,8,31407,Cash,Hyderabad,251256
54,Raj,Smartwatch,3,13909,Card,Hyderabad,41727
55,Simran,Laptop,7,17014,Card,Mumbai,119098
56,Raj,Keyboard,3,30366,Cash,Delhi,91098
57,Vishal,Mobile,7,3483,Cash,Mumbai,24381
58,Amit,Smartwatch,2,32205,UPI,Hyderabad,64410
59,Neha,Smartwatch,6,21162,NetBanking,Nagpur,126972
60,Pooja,Headphones,3,24010,Card,Pune,72030
61,Neha,Keyboard,3,13151,UPI,Mumbai,39453
62,Simran,Mouse,9,41498,Cash,Hyderabad,373482
63,Pooja,Laptop,7,29035,NetBanking,Delhi,203245
64,,Mouse,5,7140,UPI,Hyderabad,35700
65,Simran,Keyboard,7,45047,Card,Delhi,315329
66,Riya,Keyboard,9,15817,UPI,Mumbai,142353
67,Raj,Keyboard,1,8064,Card,Delhi,8064
68,Amit,Mouse,7,27845,Cash,Bangalore,194915
69,Raj,Keyboard,6,48788,NetBanking,Bangalore,292728
70,Karan,Smartwatch,9,29187,NetBanking,Bangalore,262683
71,Riya,Mouse,1,14237,NetBanking,Nagpur,14237
72,Riya,Keyboard,4,9823,Cash,Mumbai,39292
73,Amit,Smartwatch,9,15729,Card,Hyderabad,141561
74,Riya,Headphones,4,44981,Cash,Hyderabad,179924
75,Pooja,Keyboard,3,9002,NetBanking,Nagpur,27006
76,Riya,Mouse,9,1045,Cash,Delhi,9405
77,Raj,Mobile,2,37614,,Nagpur,75228
78,Raj,Keyboard,4,29930,Cash,Delhi,119720
79,Simran,Mobile,6,10496,Card,Delhi,62976
80,Raj,Smartwatch,2,28288,UPI,Pune,56576
81,Simran,Headphones,8,30469,UPI,Hyderabad,243752
82,Raj,Laptop,8,49043,Cash,Bangalore,392344
83,Pooja,Headphones,1,14419,UPI,Delhi,14419
84,Vishal,Keyboard,3,4310,UPI,Pune,12930
85,Simran,Mobile,9,31086,Cash,Hyderabad,279774
86,Neha,Mobile,5,40474,Cash,Bangalore,202370
87,Karan,Mouse,6,42273,NetBanking,Delhi,253638
88,Amit,Mobile,4,16871,UPI,Delhi,67484
89,Raj,,2,45584,Card,Nagpur,91168
90,Riya,Smartwatch,8,30129,Cash,Nagpur,241032
91,Vishal,Laptop,6,8936,NetBanking,Hyderabad,53616
92,Raj,Keyboard,5,13484,Card,Bangalore,67420
93,Riya,Mouse,9,33539,UPI,Delhi,301851
94,Karan,Laptop,1,20395,NetBanking,Hyderabad,20395
95,Karan,Mobile,5,18655,Cash,Hyderabad,93275
96,Karan,Mobile,6,11116,Card,Mumbai,66696
97,Riya,Laptop,5,37629,,Nagpur,188145
98,Raj,Mobile,6,40337,UPI,Bangalore,242022
99,Karan,Smartwatch,6,25074,Card,Delhi,150444
100,Pooja,Smartwatch,7,3930,UPI,Hyderabad,27510
101,Simran,Laptop,4,13176,UPI,Delhi,52704
102,Riya,Mouse,8,11316,NetBanking,Mumbai,90528
103,Riya,Mouse,7,33233,Cash,Bangalore,232631
104,Raj,Laptop,9,20644,Card,Hyderabad,185796
105,Riya,Mouse,7,2550,UPI,Delhi,17850
106,Riya,Mouse,3,44960,UPI,Nagpur,134880
107,Karan,Smartwatch,3,34433,Card,Mumbai,103299
108,Raj,Mouse,8,25451,UPI,Bangalore,203608
109,Karan,Headphones,5,32913,NetBanking,Mumbai,164565
110,Simran,Keyboard,4,35301,NetBanking,Nagpur,141204
111,Vishal,Mobile,8,33413,NetBanking,Bangalore,267304
112,Simran,Headphones,6,47537,NetBanking,Mumbai,285222
113,Vishal,Mouse,2,41100,UPI,Pune,82200
114,Karan,Smartwatch,4,25780,Card,Nagpur,103120
115,Simran,Laptop,4,25057,Card,Nagpur,100228
116,Raj,Mouse,6,47554,Card,Nagpur,285324
117,Amit,Smartwatch,6,35900,Card,Pune,215400
118,Karan,Keyboard,1,4994,Cash,Pune,4994
119,Vishal,Mouse,8,15652,Card,Delhi,125216
120,Pooja,Laptop,6,24395,Cash,Hyderabad,146370
121,Vishal,Smartwatch,3,9655,Cash,Mumbai,28965
122,,Smartwatch,9,32383,NetBanking,Delhi,291447
123,Riya,,2,43694,Cash,Mumbai,87388
124,Simran,Keyboard,8,43501,UPI,Hyderabad,348008
125,Pooja,Mouse,3,2328,Cash,Pune,6984
126,Vishal,Keyboard,5,45528,NetBanking,Hyderabad,227640
127,Riya,Mobile,6,42398,Cash,Pune,254388
128,Amit,Mobile,6,32623,UPI,Hyderabad,195738
129,Raj,Mouse,4,38073,UPI,Delhi,152292
130,Raj,Keyboard,3,1306,UPI,Bangalore,3918
131,Raj,Laptop,4,41470,NetBanking,Delhi,165880
132,Pooja,Smartwatch,1,30257,NetBanking,Mumbai,30257
133,Amit,Smartwatch,4,35136,Card,Delhi,140544
134,Pooja,Mouse,1,15061,NetBanking,Nagpur,15061
135,Simran,Mobile,1,48780,UPI,Mumbai,48780
136,Pooja,Mobile,6,24762,UPI,Hyderabad,148572
137,Amit,Smartwatch,5,15399,NetBanking,Mumbai,76995
138,Amit,Mouse,4,49488,Cash,Bangalore,197952
139,Simran,Keyboard,3,16434,NetBanking,Pune,49302
